time,pid_tb.proportional[31:0]
5436300000,10260
5436300000,10240
5443500000,10240
5443500000,10220
5450700000,10220
5450700000,10200
5457900000,10200
5457900000,10190
5465100000,10190
5465100000,10170
5472300000,10170
5472300000,10160
5479500000,10160
5479500000,10140
5486700000,10140
5486700000,10120
5493900000,10120
5493900000,10110
5501100000,10110
5501100000,10090
5508300000,10090
5508300000,10070
5515500000,10070
5515500000,10060
5522700000,10060
5522700000,10040
5529900000,10040
5529900000,10020
5537100000,10020
5537100000,10010
5544300000,10010
5544300000,9990
5551500000,9990
5551500000,9980
5558700000,9980
5558700000,9960
5565900000,9960
5565900000,9940
5573100000,9940
5573100000,9930
5580300000,9930
5580300000,9910
5587500000,9910
5587500000,9890
5594700000,9890
5594700000,9880
5601900000,9880
5601900000,9860
5609100000,9860
5609100000,9850
5616300000,9850
5616300000,9830
5623500000,9830
5623500000,9810
5630700000,9810
5630700000,9800
5637900000,9800
5637900000,9780
5645100000,9780
5645100000,9770
5652300000,9770
5652300000,9750
5659500000,9750
5659500000,9730
5666700000,9730
5666700000,9720
5673900000,9720
5673900000,9700
5681100000,9700
5681100000,9690
5688300000,9690
5688300000,9670
5695500000,9670
5695500000,9650
5702700000,9650
5702700000,9640
5709900000,9640
5709900000,9620
5717100000,9620
5717100000,9610
5724300000,9610
5724300000,9590
5731500000,9590
5731500000,9580
5738700000,9580
5738700000,9560
5745900000,9560
5745900000,9550
5753100000,9550
5753100000,9530
5760300000,9530
5760300000,9510
5767500000,9510
5767500000,9500
5774700000,9500
5774700000,9480
5781900000,9480
5781900000,9470
5789100000,9470
5789100000,9450
5796300000,9450
5796300000,9440
5803500000,9440
5803500000,9420
5810700000,9420
5810700000,9410
5817900000,9410
5817900000,9390
5825100000,9390
5825100000,9380
5832300000,9380
5832300000,9360
5839500000,9360
5839500000,9350
5846700000,9350
5846700000,9330
5853900000,9330
5853900000,9310
5861100000,9310
5861100000,9300
5868300000,9300
5868300000,9280
5875500000,9280
5875500000,9270
5882700000,9270
5882700000,9250
5889900000,9250
5889900000,9240
5897100000,9240
5897100000,9220
5904300000,9220
5904300000,9210
5911500000,9210
5911500000,9190
5918700000,9190
5918700000,9180
5925900000,9180
5925900000,9160
5933100000,9160
5933100000,9150
5940300000,9150
5940300000,9130
5947500000,9130
5947500000,9120
5954700000,9120
5954700000,9100
5961900000,9100
5961900000,9090
5969100000,9090
5969100000,9070
5976300000,9070
5976300000,9060
5983500000,9060
5983500000,9050
5990700000,9050
5990700000,9030
5997900000,9030
5997900000,9020
6005100000,9020
6005100000,9000
6012300000,9000
6012300000,8990
6019500000,8990
6019500000,8970
6026700000,8970
6026700000,8960
6033900000,8960
6033900000,8940
6041100000,8940
6041100000,8930
6048300000,8930
6048300000,8910
6055500000,8910
6055500000,8900
6062700000,8900
6062700000,8880
6069900000,8880
6069900000,8870
6077100000,8870
6077100000,8860
6084300000,8860
6084300000,8840
6091500000,8840
6091500000,8830
6098700000,8830
6098700000,8810
6105900000,8810
6105900000,8800
6113100000,8800
6113100000,8780
6120300000,8780
6120300000,8770
6127500000,8770
6127500000,8760
6134700000,8760
6134700000,8740
6141900000,8740
6141900000,8730
6149100000,8730
6149100000,8710
6156300000,8710
6156300000,8700
6163500000,8700
6163500000,8680
6170700000,8680
6170700000,8670
6177900000,8670
6177900000,8660
6185100000,8660
6185100000,8640
6192300000,8640
6192300000,8630
6199500000,8630
6199500000,8610
6206700000,8610
6206700000,8600
6213900000,8600
6213900000,8580
6221100000,8580
6221100000,8570
6228300000,8570
6228300000,8560
6235500000,8560
6235500000,8540
6242700000,8540
6242700000,8530
6249900000,8530
6249900000,8520
6257100000,8520
6257100000,8500
6264300000,8500
6264300000,8490
6271500000,8490
6271500000,8470
6278700000,8470
6278700000,8460
6285900000,8460
6285900000,8450
6293100000,8450
6293100000,8430
6300300000,8430
6300300000,8420
6307500000,8420
6307500000,8410
6314700000,8410
6314700000,8390
6321900000,8390
6321900000,8380
6329100000,8380
6329100000,8360
6336300000,8360
6336300000,8350
6343500000,8350
6343500000,8340
6350700000,8340
6350700000,8320
6357900000,8320
6357900000,8310
6365100000,8310
6365100000,8300
6372300000,8300
6372300000,8280
6379500000,8280
6379500000,8270
6386700000,8270
6386700000,8260
6393900000,8260
6393900000,8240
6401100000,8240
6401100000,8230
6408300000,8230
6408300000,8220
6415500000,8220
6415500000,8200
6422700000,8200
6422700000,8190
6429900000,8190
6429900000,8180
6437100000,8180
