time,pid_tb.setpoint[31:0]
3025100000,843000
3032300000,843000
3032300000,845000
3039500000,845000
3039500000,847000
3046700000,847000
3046700000,849000
3053900000,849000
3053900000,851000
3061100000,851000
3061100000,853000
3068300000,853000
3068300000,855000
3075500000,855000
3075500000,857000
3082700000,857000
3082700000,859000
3089900000,859000
3089900000,861000
3097100000,861000
3097100000,863000
3104300000,863000
3104300000,865000
3111500000,865000
3111500000,867000
3118700000,867000
3118700000,869000
3125900000,869000
3125900000,871000
3133100000,871000
3133100000,873000
3140300000,873000
3140300000,875000
3147500000,875000
3147500000,877000
3154700000,877000
3154700000,879000
3161900000,879000
3161900000,881000
3169100000,881000
3169100000,883000
3176300000,883000
3176300000,885000
3183500000,885000
3183500000,887000
3190700000,887000
3190700000,889000
3197900000,889000
3197900000,891000
3205100000,891000
3205100000,893000
3212300000,893000
3212300000,895000
3219500000,895000
3219500000,897000
3226700000,897000
3226700000,899000
3233900000,899000
3233900000,901000
3241100000,901000
3241100000,903000
3248300000,903000
3248300000,905000
3255500000,905000
3255500000,907000
3262700000,907000
3262700000,909000
3269900000,909000
3269900000,911000
3277100000,911000
3277100000,913000
3284300000,913000
3284300000,915000
3291500000,915000
3291500000,917000
3298700000,917000
3298700000,919000
3305900000,919000
3305900000,921000
3313100000,921000
3313100000,923000
3320300000,923000
3320300000,925000
3327500000,925000
3327500000,927000
3334700000,927000
3334700000,929000
3341900000,929000
3341900000,931000
3349100000,931000
3349100000,933000
3356300000,933000
3356300000,935000
3363500000,935000
3363500000,937000
3370700000,937000
3370700000,939000
3377900000,939000
3377900000,941000
3385100000,941000
3385100000,943000
3392300000,943000
3392300000,945000
3399500000,945000
3399500000,947000
3406700000,947000
3406700000,949000
3413900000,949000
3413900000,951000
3421100000,951000
3421100000,953000
3428300000,953000
3428300000,955000
3435500000,955000
3435500000,957000
3442700000,957000
3442700000,959000
3449900000,959000
3449900000,961000
3457100000,961000
3457100000,963000
3464300000,963000
3464300000,965000
3471500000,965000
3471500000,967000
3478700000,967000
3478700000,969000
3485900000,969000
3485900000,971000
3493100000,971000
3493100000,973000
3500300000,973000
3500300000,975000
3507500000,975000
3507500000,977000
3514700000,977000
3514700000,979000
3521900000,979000
3521900000,981000
3529100000,981000
3529100000,983000
3536300000,983000
3536300000,985000
3543500000,985000
3543500000,987000
3550700000,987000
3550700000,989000
3557900000,989000
3557900000,991000
3565100000,991000
3565100000,993000
3572300000,993000
3572300000,995000
3579500000,995000
3579500000,997000
3586700000,997000
3586700000,999000
3593900000,999000
3593900000,1001000
3601100000,1001000
3601100000,1003000
3608300000,1003000
3608300000,1005000
3615500000,1005000
3615500000,1007000
3622700000,1007000
3622700000,1009000
3629900000,1009000
3629900000,1011000
3637100000,1011000
3637100000,1013000
3644300000,1013000
3644300000,1015000
3651500000,1015000
3651500000,1017000
3658700000,1017000
3658700000,1019000
3665900000,1019000
3665900000,1021000
3673100000,1021000
3673100000,1023000
3680300000,1023000
3680300000,1025000
3687500000,1025000
3687500000,1027000
3694700000,1027000
3694700000,1029000
3701900000,1029000
3701900000,1031000
3709100000,1031000
3709100000,1033000
3716300000,1033000
3716300000,1035000
3723500000,1035000
3723500000,1037000
3730700000,1037000
