time,pid_tb.pos[31:0]
14458700000,-9000
14465900000,-9000
14465900000,-8985
14473100000,-8985
14473100000,-8970
14480300000,-8970
14480300000,-8955
14487500000,-8955
14487500000,-8941
14494700000,-8941
14494700000,-8927
14501900000,-8927
14501900000,-8913
14509100000,-8913
14509100000,-8899
14516300000,-8899
14516300000,-8885
14523500000,-8885
14523500000,-8870
14530700000,-8870
14530700000,-8855
14537900000,-8855
14537900000,-8840
14545100000,-8840
14545100000,-8826
14552300000,-8826
14552300000,-8812
14559500000,-8812
14559500000,-8798
14566700000,-8798
14566700000,-8784
14573900000,-8784
14573900000,-8770
14581100000,-8770
14581100000,-8756
14588300000,-8756
14588300000,-8741
14595500000,-8741
14595500000,-8727
14602700000,-8727
14602700000,-8713
14609900000,-8713
14609900000,-8699
14617100000,-8699
14617100000,-8685
14624300000,-8685
14624300000,-8671
14631500000,-8671
14631500000,-8657
14638700000,-8657
14638700000,-8643
14645900000,-8643
14645900000,-8629
14653100000,-8629
14653100000,-8615
14660300000,-8615
14660300000,-8601
14667500000,-8601
14667500000,-8587
14674700000,-8587
14674700000,-8573
14681900000,-8573
14681900000,-8559
14689100000,-8559
14689100000,-8545
14696300000,-8545
14696300000,-8531
14703500000,-8531
14703500000,-8517
14710700000,-8517
14710700000,-8503
14717900000,-8503
14717900000,-8489
14725100000,-8489
14725100000,-8475
14732300000,-8475
14732300000,-8461
14739500000,-8461
14739500000,-8447
14746700000,-8447
14746700000,-8433
14753900000,-8433
14753900000,-8419
14761100000,-8419
14761100000,-8406
14768300000,-8406
14768300000,-8392
14775500000,-8392
14775500000,-8378
14782700000,-8378
14782700000,-8364
14789900000,-8364
14789900000,-8350
14797100000,-8350
14797100000,-8337
14804300000,-8337
14804300000,-8324
14811500000,-8324
14811500000,-8311
14818700000,-8311
14818700000,-8297
14825900000,-8297
14825900000,-8283
14833100000,-8283
14833100000,-8269
14840300000,-8269
14840300000,-8256
14847500000,-8256
14847500000,-8243
14854700000,-8243
14854700000,-8230
14861900000,-8230
14861900000,-8216
14869100000,-8216
14869100000,-8202
14876300000,-8202
14876300000,-8189
14883500000,-8189
14883500000,-8176
14890700000,-8176
14890700000,-8163
14897900000,-8163
14897900000,-8150
14905100000,-8150
14905100000,-8136
14912300000,-8136
14912300000,-8123
14919500000,-8123
14919500000,-8110
14926700000,-8110
14926700000,-8097
14933900000,-8097
14933900000,-8084
14941100000,-8084
14941100000,-8071
14948300000,-8071
14948300000,-8058
14955500000,-8058
14955500000,-8045
14962700000,-8045
14962700000,-8032
14969900000,-8032
14969900000,-8019
14977100000,-8019
14977100000,-8006
14984300000,-8006
14984300000,-7993
14991500000,-7993
14991500000,-7980
14998700000,-7980
14998700000,-7967
15005900000,-7967
15005900000,-7954
15013100000,-7954
15013100000,-7941
15020300000,-7941
15020300000,-7928
15027500000,-7928
15027500000,-7915
15034700000,-7915
15034700000,-7902
15041900000,-7902
15041900000,-7889
15049100000,-7889
15049100000,-7876
15056300000,-7876
15056300000,-7863
15063500000,-7863
15063500000,-7850
15070700000,-7850
15070700000,-7837
15077900000,-7837
15077900000,-7824
